LAMMPS data file via write_data, version 2 Aug 2023, timestep = 0, units = metal

880 atoms
2 atom types

0 46.15297974 xlo xhi
0 48.44336421158499 ylo yhi
0 10 zlo zhi

Masses

1 10.811
2 14.0067

Atoms # charge

358 2 -0.42 4.8923 20.57901489061117 0 0 0 0
359 1 0.42 6.2901 20.57901489061117 0 0 0 0
360 2 -0.42 6.989 19.36848460292816 0 0 0 0
361 1 0.42 8.3868 19.36848460292816 0 0 0 0
362 2 -0.42 9.0857 20.57901489061117 0 0 0 0
363 1 0.42 10.4835 20.57901489061117 0 0 0 0
364 2 -0.42 11.1824 19.36848460292816 0 0 0 0
365 1 0.42 12.5802 19.36848460292816 0 0 0 0
366 2 -0.42 13.2791 20.57901489061117 0 0 0 0
367 1 0.42 14.6769 20.57901489061117 0 0 0 0
368 2 -0.42 15.3758 19.36848460292816 0 0 0 0
369 1 0.42 16.7736 19.36848460292816 0 0 0 0
370 2 -0.42 17.4725 20.57901489061117 0 0 0 0
371 1 0.42 18.8703 20.57901489061117 0 0 0 0
372 2 -0.42 19.5692 19.36848460292816 0 0 0 0
373 1 0.42 20.967 19.36848460292816 0 0 0 0
374 2 -0.42 21.6659 20.57901489061117 0 0 0 0
375 1 0.42 23.063699999999997 20.57901489061117 0 0 0 0
397 1 0.42 0 21.78954517829418 0 0 0 0
398 2 -0.42 0.6989 23.00007546597719 0 0 0 0
399 1 0.42 2.0967 23.00007546597719 0 0 0 0
400 2 -0.42 2.7956 21.78954517829418 0 0 0 0
401 1 0.42 4.1934 21.78954517829418 0 0 0 0
402 2 -0.42 4.8923 23.00007546597719 0 0 0 0
403 1 0.42 6.2901 23.00007546597719 0 0 0 0
404 2 -0.42 6.989 21.78954517829418 0 0 0 0
405 1 0.42 8.3868 21.78954517829418 0 0 0 0
406 2 -0.42 9.0857 23.00007546597719 0 0 0 0
407 1 0.42 10.4835 23.00007546597719 0 0 0 0
408 2 -0.42 11.1824 21.78954517829418 0 0 0 0
409 1 0.42 12.5802 21.78954517829418 0 0 0 0
410 2 -0.42 13.2791 23.00007546597719 0 0 0 0
411 1 0.42 14.6769 23.00007546597719 0 0 0 0
412 2 -0.42 15.3758 21.78954517829418 0 0 0 0
413 1 0.42 16.7736 21.78954517829418 0 0 0 0
414 2 -0.42 17.4725 23.00007546597719 0 0 0 0
415 1 0.42 18.8703 23.00007546597719 0 0 0 0
416 2 -0.42 19.5692 21.78954517829418 0 0 0 0
417 1 0.42 20.967 21.78954517829418 0 0 0 0
418 2 -0.42 21.6659 23.00007546597719 0 0 0 0
419 1 0.42 23.063699999999997 23.00007546597719 0 0 0 0
441 1 0.42 0 24.2106057536602 0 0 0 0
442 2 -0.42 0.6989 25.42113604134321 0 0 0 0
443 1 0.42 2.0967 25.42113604134321 0 0 0 0
444 2 -0.42 2.7956 24.2106057536602 0 0 0 0
445 1 0.42 4.1934 24.2106057536602 0 0 0 0
446 2 -0.42 4.8923 25.42113604134321 0 0 0 0
447 1 0.42 6.2901 25.42113604134321 0 0 0 0
448 2 -0.42 6.989 24.2106057536602 0 0 0 0
449 1 0.42 8.3868 24.2106057536602 0 0 0 0
450 2 -0.42 9.0857 25.42113604134321 0 0 0 0
451 1 0.42 10.4835 25.42113604134321 0 0 0 0
452 2 -0.42 11.1824 24.2106057536602 0 0 0 0
453 1 0.42 12.5802 24.2106057536602 0 0 0 0
454 2 -0.42 13.2791 25.42113604134321 0 0 0 0
455 1 0.42 14.6769 25.42113604134321 0 0 0 0
